"","striker","adj_avg_bat_rd","adj_bat_rd","avg_bat_rd","total_bat_rd","balls","strike_rate","adj_exp","exp_avg","runs","dismissals","bat_average","adj_bat_avg","bowl_adj_bat_avg"
"53","Mustafizur Rahman",-0.790301266775648,-0.790301266775648,-0.685358729105062,-0.685358729105062,1,100,12.8238192993008,12.3802403150756,1,NA,1,-0.91922612368176,-0.922020111430101
"54","Abdul Basith",-0.93623377238601,-0.93623377238601,-0.923016398449089,-0.923016398449089,1,100,15.7823608084439,14.4982505739062,1,NA,1,-0.931026161059749,-0.936638123273359
"55","AU Rashid",-0.0598094939605313,-0.956951903368501,-0.00100793911570946,-0.0161270258513513,16,137.5,18.7541364101,26.5230533272021,22,2,11,-0.585266452383958,-0.413462728463681
"56","DG Nalkande",-1.24160124805728,-1.24160124805728,-1.44247642968237,-1.44247642968237,1,0,13.5076355283432,16.7665949707437,0,1,0,-1,-1
"57","R Shepherd",-1.34850986424702,-1.34850986424702,-1.23485727237867,-1.23485727237867,1,0,16.6746917542727,15.4352139300982,0,1,0,-1,-1
"58","Arjun Tendulkar",-0.157966585605472,-1.42169927044924,-0.355667006236926,-3.20100305613233,9,144.444444444444,14.0222886257721,17.2267276169814,13,1,13,-0.245358707176332,-0.0729045488261592
"59","Arshdeep Singh",-0.713909723975519,-1.42781944795104,-0.860300981565562,-1.72060196313112,2,100,16.9005009247018,21.8767351632211,2,NA,2,-0.908578680270245,-0.881660312383002
"60","MM Ali",-0.0176053305220891,-1.60208507751011,-0.0595174812192855,-5.41609079095498,91,136.263736263736,23.643370453786,25.4054775785815,124,7,17.7142857142857,-0.302737543134398,-0.250771553535037
"61","JR Hazlewood",-0.803546667626126,-1.60709333525225,-0.949937925216169,-1.89987585043234,2,50,7.38409003525089,9.55828367705107,1,NA,1,-0.895378706702235,-0.864573698962756
"62","TU Deshpande",-1.60834930668961,-1.60834930668961,-1.62612474042554,-1.62612474042554,1,0,5.76495622675898,11.131174255957,0,NA,0,-1,-1
"63","Atharva Taide",-0.0128236216535721,-1.6542471933108,-0.00113924934211332,-0.146963165132618,129,144.186046511628,39.8896242486,38.9438926797243,186,7,26.5714285714286,-0.317699727914906,-0.33387618780688
"64","Harshit Rana",-1.6604390442441,-1.6604390442441,-1.69956772409092,-1.69956772409092,1,0,18.7598299308125,12.7197916882329,0,1,0,-1,-1
"65","MM Sharma",-1.828004382845,-1.828004382845,-1.85438885133199,-1.85438885133199,1,0,12.778160281314,13.3875005042918,0,NA,0,-1,-1
"66","Avesh Khan",-1.93623377238601,-1.93623377238601,-1.92301639844909,-1.92301639844909,1,0,15.7823608084439,14.4982505739062,0,NA,0,-1,-1
"67","M Shahrukh Khan",-0.0220933680736503,-2.07677659892313,-0.0324721254468789,-3.05237979200661,94,165.957446808511,19.8523282747167,21.7576278321602,156,7,22.2857142857143,0.0242713248718015,0.122574338753839
"68","Mohammed Siraj",-1.05631860616358,-2.11263721232717,-1.18647716183263,-2.37295432366526,2,50,12.0849319007588,12.0282671254786,1,1,1,-0.916862504833986,-0.917252326433282
"69","HV Patel",-0.358082001674659,-2.14849201004795,-0.48842070915347,-2.93052425492082,6,100,24.6760705773132,35.7978503518615,6,2,3,-0.916196085225436,-0.878424727689094
"70","Mohit Rathee",-1.08092241644294,-2.16184483288588,-1.10730688492993,-2.21461376985986,2,50,20.6483448428612,21.6329832237924,1,NA,1,-0.953774290413161,-0.951569968072006
"71","Yudhvir Singh",-1.09869755998684,-2.19739511997367,-1.08329930072325,-2.1665986014465,2,50,14.563491465808,11.1277662677654,1,2,0.5,-0.955067352425582,-0.965667573522881
"72","DL Chahar",-1.10834930668961,-2.21669861337922,-1.12612474042554,-2.25224948085107,2,50,5.76495622675898,11.131174255957,1,NA,1,-0.910162218557954,-0.826538145188625
"73","JC Archer",-0.730358697912213,-2.92143479164885,-0.815086611358831,-3.26034644543533,4,100,11.6410012244875,13.8657765329938,4,NA,4,-0.711519943330838,-0.656386944485
"74","K Rabada",-1.53158228762843,-3.06316457525686,-1.64604406860802,-3.29208813721604,2,0,11.8051845943673,18.216117305864,0,1,0,-1,-1
"75","HR Shokeen",-0.180660164237003,-3.07122279202905,-0.488034801584364,-8.29659162693419,17,135.294117647059,21.8533550869349,22.0654817134358,23,1,23,0.0423520455479195,0.0524699712471423
"76","KM Asif",-1.59248433085901,-3.18496866171802,-1.22922729503043,-2.45845459006086,2,0,16.4976817367307,22.7298922331449,0,1,0,-1,-1
"77","RP Meredith",-1.61624022447268,-3.23248044894535,-1.85438885133199,-3.70877770266398,2,0,6.56502933642075,13.3875005042918,0,NA,0,-1,-1
"78","M Vohra",-0.301442128054382,-3.3158634085982,-0.253025792609722,-2.78328371870695,11,90.9090909090909,23.2213915317113,25.3043741588068,10,1,10,-0.604811407812682,-0.569362585943915
"79","MR Marsh",-0.0374113194033167,-3.62889798212172,0.0366245429074628,3.55258066202389,97,131.958762886598,32.4046869126069,31.7246698346928,128,9,14.2222222222222,-0.551698337718573,-0.561106013442484
"80","R Powell",-0.415621551206726,-3.74059396086053,-0.491296795053969,-4.42167115548572,9,77.7777777777778,16.2105596289378,23.4132878631737,7,3,2.33333333333333,-0.900341492106139,-0.856060901860041
"81","JD Unadkat",-0.535446179356889,-3.74812325549822,-0.537347801083523,-3.76143460758466,7,128.571428571429,19.0101060339055,19.8096876486081,9,1,9,-0.545676834504134,-0.526567606516869
"82","TA Boult",-0.280036000635916,-3.92050400890282,-0.397470165268318,-5.56458231375645,14,114.285714285714,18.6963090140764,23.6733504385267,16,1,16,-0.324134535094738,-0.14421611303313
"83","Sanvir Singh",-0.437356630597927,-3.93620967538134,-0.478934612099479,-4.31041150889531,9,122.222222222222,27.6095707353955,27.9343962760382,11,1,11,-0.606220235035626,-0.601587431205585
"84","KV Sharma",-0.855148884341803,-4.27574442170901,-0.908621968867388,-4.54310984433694,5,60,21.0951650196227,21.8005961400834,3,2,1.5,-0.931194542095937,-0.928893658873742
"85","Vijaykumar Vyshak",-0.478756340513729,-4.30880706462356,-0.419611077855433,-3.7764997006989,9,144.444444444444,15.3872532494807,18.9982293257015,13,1,13,-0.315725703846877,-0.155144859889877
"86","Mandeep Singh",-0.26990266971712,-4.31844271547392,-0.336642799783925,-5.38628479654281,16,87.5,29.2162075317423,33.6094459326757,14,3,4.66666666666667,-0.86115014582464,-0.840271306205759
"87","Swapnil Singh",-1.08630183106302,-4.34520732425207,-1.19731816133116,-4.78927264532463,4,50,14.3538833963241,18.4708050097034,2,NA,2,-0.891721016006107,-0.860664884562725
"88","A Badoni",-0.0260849821041546,-4.48661692191458,-0.04334917507417,-7.45605811275724,172,138.372093023256,21.7165749047938,23.7839222823279,238,10,23.8,0.000675991011121457,0.0959370943318667
"89","K Kartikeya",-0.641695510165084,-4.49186857115558,-0.827839300445722,-5.79487510312005,7,85.7142857142857,18.0414021177509,22.3334016881074,6,1,6,-0.731344105846848,-0.667431613084184
"90","KH Pandya",-0.0273119360219307,-4.50646944361856,-0.0245388358263969,-4.04890791135549,165,113.939393939394,27.2047528407056,23.678650826831,188,10,18.8,-0.206035844800029,-0.308944282270039
"91","C Sakariya",-0.771870671058859,-4.63122402635316,-0.8617448598458,-5.1704691590748,6,66.6666666666667,7.7505132839177,10.4989358897259,4,1,4,-0.619009007959146,-0.483905148798339
"92","BA Stokes",-0.331207666330901,-4.63690732863261,-0.300888238810284,-4.21243534334398,14,107.142857142857,29.4081479798088,27.7065432934054,15,2,7.5,-0.729305820629558,-0.744968639128538
"93","AR Patel",-0.0230832957829291,-4.6859090439346,-0.0397303670779752,-8.06526451682896,203,139.408866995074,23.3492840885418,24.4132345827234,283,10,28.3,0.15920731044903,0.212028595510028
"94","MJ Santner",-1.17367662573762,-4.69470650295047,-1.28571591818537,-5.1428636727415,4,50,11.9417930777188,16.3230131643928,2,NA,2,-0.877473602461902,-0.832520963394381
"95","SO Hetmyer",-0.0239534186228403,-4.71882346869955,-0.0300655273551942,-5.92290888897325,197,151.776649746193,25.658107166522,25.9346510090056,299,8,37.375,0.441122149167221,0.456654606570741
"96","Mohammed Shami",-0.804732080861311,-4.82839248516787,-0.820657260382356,-4.92394356229414,6,83.3333333333333,11.5899642585425,13.5955451011391,5,2,2.5,-0.816116236502313,-0.784296142401186
"97","Noor Ahmad",-0.597625707355315,-5.37863136619783,-0.747793402063713,-6.73014061857342,9,88.8888888888889,20.177952880126,20.8183567298012,8,2,4,-0.807861876327921,-0.801763834826885
"98","B Sai Sudharsan",-0.0210171249946168,-5.38038399862191,-0.0313494067112011,-8.02544811806748,256,141.40625,33.8898992164167,30.6365114894136,362,7,51.7142857142857,0.687995244894497,0.525949823103475
"99","A Manohar",-0.0667903684309393,-5.54360057976796,-0.119866688591834,-9.94893515312224,83,137.349397590361,34.9023865626407,27.4500442735709,114,6,19,-0.307833538968338,-0.455624618508538
"100","KM Jadhav",-0.573837744315495,-5.73837744315495,-0.599185877771166,-5.99185877771166,10,120,40.9936512246147,25.8099503230907,12,NA,12,-0.535063033838376,-0.707271744733131
"101","JO Holder",-0.547613375501857,-6.02374713052042,-0.53656864733469,-5.90225512068159,11,109.090909090909,41.6185598471762,31.0682573857355,12,2,6,-0.806876841352718,-0.855833550655475
"102","WD Parnell",-1.20593142557864,-6.02965712789318,-1.34445932057131,-6.72229660285657,5,40,18.107085138675,21.9182743080532,2,1,2,-0.908751940417811,-0.889545999000789
"103","PP Chawla",-0.275089128861108,-6.05196083494437,-0.535701978526131,-11.7854435275749,22,113.636363636364,18.1160291108309,24.2819507304367,25,2,12.5,-0.485214341353077,-0.310003316757385
"104","WP Saha",-0.0213689628189077,-6.13289232902652,0.0172085409806303,4.93885126144088,287,129.268292682927,35.9323541637059,31.6711427480121,371,16,23.1875,-0.267866644898521,-0.354690207762092
"105","Sandeep Sharma",-1.03681548012674,-6.22089288076043,-1.16545245483844,-6.99271472903066,6,33.3333333333333,14.8206547924379,23.2903604123019,2,NA,2,-0.914127563309685,-0.865053195826376
"106","PN Mankad",-0.0867566731854886,-6.24648046935518,-0.126969523072769,-9.14180566123936,72,129.166666666667,29.6207088947333,31.448381714624,93,3,31,-0.0142577039000849,0.0465650943793561
"107","Fazalhaq Farooqi",-1.28476437996363,-6.42382189981814,-1.64510332699599,-8.22551663497993,5,20,9.62011803650574,16.1871758820396,1,NA,1,-0.938222701273695,-0.896051171492359
"108","Mukesh Kumar",-0.731014404369527,-6.57912963932575,-0.826192914454152,-7.43573623008737,9,77.7777777777778,12.9108235135285,16.0794552259162,7,NA,7,-0.564661868101248,-0.457819248116503
"109","MG Bracewell",-0.141972397790274,-6.67270269614287,-0.241354808103561,-11.3436759808674,47,123.404255319149,22.7035545966142,27.8435614093008,58,2,29,0.0415334293519241,0.277333021866313
"110","AS Roy",-0.360146975534617,-6.84279253515772,-0.410998309795441,-7.80896788611337,19,121.052631578947,22.7258772227106,23.9660858373908,23,2,11.5,-0.520155269490932,-0.493968928578575
"111","Arshad Khan (2)",-0.458159443552795,-6.87239165329193,-0.52477737467436,-7.8716606201154,15,120,20.467044057648,23.7305612868745,18,2,9,-0.620742219655042,-0.560268694656133
"112","MK Lomror",-0.0759050423936312,-7.36278911218223,-0.0866182992719991,-8.40197502938392,97,139.175257731959,30.9991030817229,28.7423458673108,135,8,16.875,-0.412887170800062,-0.45562941109901
"113","Vishnu Vinod",-0.244186184176293,-7.56977170946508,-0.323801948613119,-10.0378604070067,31,119.354838709677,27.5739603229014,31.8958287207195,37,3,12.3333333333333,-0.613324568509436,-0.552718101103164
"114","R Tewatia",-0.134132092953125,-7.64552929832811,-0.126165648498314,-7.19144196440392,57,152.631578947368,23.9036077101165,23.3391504999647,87,4,21.75,-0.0680894748061674,-0.0900955092734836
"115","JP Behrendorff",-0.907283042281951,-8.16554738053756,-1.06453525668555,-9.58081731016994,9,66.6666666666667,21.2971933560593,20.8175758835404,6,NA,6,-0.711782004131232,-0.718272736708149
"116","R Ashwin",-0.162238130661532,-8.27414466373811,-0.169373427669817,-8.63804481116069,51,131.372549019608,24.5705800917006,23.8898060959908,67,6,11.1666666666667,-0.532576086143258,-0.545526942180804
"117","MD Shanaka",-0.346739650633533,-9.01523091647185,-0.401754616961237,-10.4456200409922,26,100,27.0025109114014,25.1450672770769,26,2,13,-0.4829999913402,-0.518563290552696
"118","JE Root",-0.626936891463051,-9.40405337194577,-0.741892003839952,-11.1283800575993,15,66.6666666666667,23.3304032849109,35.8096033031444,10,1,10,-0.720745300769029,-0.571374747453783
"119","Rahmanullah Gurbaz",-0.0571953752171064,-9.72321378690809,-0.0570281465958322,-9.69478492129148,170,133.529411764706,37.4876190400669,34.5082098273073,227,11,20.6363636363636,-0.401986839084492,-0.449515222230907
"120","NT Ellis",-1.42735371127035,-9.99147597889248,-1.33878633149822,-9.37150432048755,7,14.2857142857143,27.4673738885684,25.5731729943693,1,2,0.5,-0.980448261148114,-0.981796585213117
"121","Mohsin Khan (2)",-1.44287374410761,-10.1001162087532,-1.33541233062066,-9.3478863143446,7,0,49.849618938022,21.8115213605816,0,1,0,-1,-1
"122","UT Yadav",-0.565763558786786,-10.1837440581622,-0.592894451394517,-10.6721001251013,18,105.555555555556,20.5044905815794,20.4446997827733,19,2,9.5,-0.535331890370692,-0.536686855876609
"123","Harpreet Singh",-0.180949066945539,-10.6759949497868,-0.131235272212185,-7.74288106051894,59,128.813559322034,38.3115351241287,30.2055798809911,76,3,25.3333333333333,-0.161302864134847,-0.338754418186226
"124","P Dubey",-0.536978075637523,-10.7395615127505,-0.547538797890488,-10.9507759578098,20,80,27.784230837057,25.0703266488136,16,1,16,-0.361795311878908,-0.424133779558866
"125","MW Short",-0.117773800465007,-10.8351896427807,-0.0846633606379071,-7.78902917868745,92,127.173913043478,33.8555620998475,34.5342789203433,117,6,19.5,-0.43534364667122,-0.424023741136236
"126","PK Garg",-0.476820642277586,-10.9668747723845,-0.43239735351937,-9.9451391309455,23,95.6521739130435,38.0073859800282,30.4420732385908,22,2,11,-0.638657987785947,-0.710582569246404
"127","PP Shaw",-0.129106586039465,-10.9740598133545,-0.0875064680504298,-7.43804978428654,85,124.705882352941,41.2726807460817,36.2128955483168,106,8,13.25,-0.634108242398863,-0.678964395806592
"128","SS Prabhudessai",-0.388685141794826,-11.2718691120499,-0.406649046188933,-11.792822339479,29,120.689655172414,20.5534993202227,23.4520410749882,35,4,8.75,-0.626898146220119,-0.574281738419557
"129","HH Pandya",-0.0457360438607827,-11.571219096778,-0.0662191980833668,-16.7534571150918,253,136.758893280632,25.7865078997173,27.8041850900108,346,11,31.4545454545455,0.131288162293458,0.219806325729366
"130","A Zampa",-0.739177064722225,-11.8268330355556,-0.787049262445322,-12.5927881991252,16,62.5,15.2958934924085,23.7451242380076,10,3,3.33333333333333,-0.859620303523288,-0.782076585785087
"131","YV Dhull",-0.538092454475568,-12.3761264529381,-0.607365559661203,-13.9694078722077,23,69.5652173913043,28.7506989380923,32.6028545673711,16,3,5.33333333333333,-0.836415142044926,-0.814497263359845
"132","KS Sharma",-0.593313903620116,-12.4595919760224,-0.599217331060435,-12.5835639522691,21,57.1428571428571,22.534162962459,27.4663322778068,12,2,6,-0.781550738580116,-0.733737613862305
"133","A Nortje",-0.433080546638731,-12.5593358525232,-0.506633262823677,-14.6923646218866,29,127.586206896552,15.3463125140842,18.7949606888699,37,3,12.3333333333333,-0.343795736660576,-0.196332453023204
"134","Naveen-ul-Haq",-0.59807035959908,-12.5594775515807,-0.653942710576406,-13.7327969221045,21,76.1904761904762,12.0294113533008,16.8574780728505,16,1,16,-0.0508663317932154,0.330073395121672
"135","Harpreet Brar",-0.311416033077611,-12.768057356182,-0.379269337235221,-15.5500428266441,41,126.829268292683,18.9527681919945,21.9719011691105,52,6,8.66666666666667,-0.605556815499843,-0.542722911034842
"136","RA Jadeja",-0.0962823172478171,-12.8055481939597,-0.114805492123237,-15.2691304523906,133,142.857142857143,18.4162260033437,18.5537307151928,190,8,23.75,0.280066007455428,0.28962361754726
"137","N Rana",-0.0441678293731978,-12.941174006347,-0.00401143880457159,-1.17535156973948,293,140.955631399317,35.6536864218774,32.5577813405316,413,13,31.7692307692308,-0.0242200340082493,-0.108949621833862
"138","CV Varun",-1.45698254835407,-13.1128429351866,-1.53245726407582,-13.7921153766824,9,11.1111111111111,26.6169142473177,21.778690753794,1,1,1,-0.954083557579062,-0.962429904882728
"139","VR Iyer",-0.0479860601312209,-13.2921386563482,-0.0207348741584585,-5.743560141893,277,145.848375451264,37.1570830805836,34.411949283597,404,14,28.8571428571429,-0.161420859384503,-0.223374375363115
"140","DA Miller",-0.0752233520716896,-13.3897566687608,-0.103946862004747,-18.5025414368449,178,145.505617977528,27.580510571554,26.2354583408632,259,8,32.375,0.234016939188525,0.173836137514834
"141","AS Joseph",-1.12929169351968,-13.5515003222361,-1.15880846633868,-13.9057015960642,12,58.3333333333333,37.4181408063145,30.1708002833898,7,NA,7,-0.76798759282982,-0.812924965026089
"142","RD Chahar",-1.52075555186731,-13.6867999668058,-1.36479704961976,-12.2831734465778,9,0,30.365511621073,27.7611885313104,0,2,0,-1,-1
"143","CJ Jordan",-1.14793710612504,-13.7752452735005,-1.05510688777121,-12.6612826532545,12,50,17.6580041258837,20.8237540322694,6,2,3,-0.855933757412277,-0.830105374389255
"144","MA Agarwal",-0.0662499253906405,-13.9124843320345,-0.081759629638371,-17.1695222240579,210,128.571428571429,39.0702052268454,33.4861708392197,270,10,27,-0.193697000184414,-0.308936314942924
